"","fire_year","fire_size","latitude","longitude"
"224",2008,2,30.59027778,-95.72305556
"225",2008,4,31.65583333,-92.45138889
"226",2008,63,31.485,-92.41805556
"227",2008,1,31.46916667,-92.36777778
"228",2008,15,31.63583333,-92.60333333
"229",2008,0.1,38.79638889,-119.7925
"230",2008,0.25,40.62611111,-123.44361111
"231",2008,0.25,40.58444444,-123.2525
"232",2008,0.01,41.06694444,-122.36583333
"233",2008,31,36.90388889,-91.14222222
"234",2008,1,41.04083333,-121.99083333
"235",2008,221,37.27722222,-84.30027778
"236",2008,3.7,29.03972222,-81.45777778
"237",2008,0.1,30.35166667,-84.60166667
"238",2008,0.25,35.19666667,-83.49111111
"239",2008,0.05,44.59861111,-84.21666667
"240",2008,0.5,44.08083333,-86.435
"241",2008,0.1,34.29972222,-110.09555556
"242",2008,6,33.93027778,-108.89416667
"243",2008,9,37.00111111,-84.21583333
"244",2008,0.4,34.34722222,-110.2625
"245",2008,1,43.38138889,-85.67777778
"246",2008,4.5,34.79694444,-83.37916667
"247",2008,0.5,43.85972222,-85.80444444
"248",2008,4,37.05694444,-83.78527778
"249",2008,2,43.59777778,-85.83111111
"250",2008,1,31.435,-92.36916667
"251",2008,2,31.0625,-92.55416667
"252",2008,0.25,34.075,-88.87527778
"253",2008,15.5,37.0675,-83.99972222
"254",2008,0.2,40.85083333,-122.33333333
"255",2008,2,43.63277778,-85.93416667
"256",2008,0.5,44.14,-85.95111111
"257",2008,0.01,40.84694444,-122.40527778
"258",2008,0.5,43.66527778,-85.74722222
"259",2008,31,43.94416667,-86.12666667
"260",2008,0.5,43.7125,-85.86111111
"261",2008,0.1,34.88861111,-84.5125
"262",2008,0.1,34.84638889,-119.06805556
"263",2008,0.1,43.9575,-121.27583333
"264",2008,0.1,44.27861111,-83.72777778
"265",2008,0.1,39.06444444,-86.2125
"266",2008,0.3,43.67888889,-85.80333333
"267",2008,0.14,34.54138889,-93.88138889
"268",2008,13,34.455,-93.83722222
"269",2008,0.1,34.30166667,-110.88527778
"270",2008,0.1,40.935,-122.43388889
"271",2008,181,37.67555556,-91.02333333
"272",2008,96,37.67944444,-91.07194444
"273",2008,4,37.69972222,-91.08916667
"274",2008,6,34.88222222,-77.19055556
"275",2008,2,34.73888889,-76.85
"276",2008,2.5,33.69805556,-108.86388889
"277",2008,10.01,34.75416667,-83.49916667
"278",2008,1.5,34.75333333,-83.50416667
"279",2008,10.3,34.79,-83.54027778
"280",2008,0.1,44.03361111,-86.12194444
"281",2008,80,36.93805556,-84.47138889
"282",2008,0.25,36.65277778,-84.30833333
"283",2008,1.9,33.52083333,-108.61666667
"284",2008,0.75,38.33833333,-83.46611111
"285",2008,0.5,36.91694444,-82.44222222
"286",2008,14,37.26027778,-82.33555556
"287",2008,13,37.67722222,-90.9775
"288",2008,0.5,37.74027778,-91.11527778
"289",2008,15,36.65777778,-84.49888889
"290",2008,90,36.7425,-84.36388889
"291",2008,40,36.74305556,-84.36138889
"292",2008,3,37.47361111,-91.99222222
"293",2008,14,37.57,-92.03083333
"294",2008,110,37.77333333,-91.84666667
"295",2008,71,37.4575,-91.03138889
"296",2008,5,37.48194444,-91.98972222
"297",2008,0.25,34.78083333,-83.40833333
"298",2008,280,31.37666667,-110.36638889
"299",2008,0.1,43.89305556,-85.85083333
"300",2008,0.1,43.69444444,-85.815
"301",2008,0.8,43.48638889,-85.56194444
"302",2008,0.75,43.86666667,-85.84638889
"303",2008,0.5,40.66638889,-121.46916667
"304",2008,2,36.84027778,-84.37055556
"305",2008,0.1,43.39527778,-85.65388889
"306",2008,152,31.93333333,-92.84583333
"307",2008,1.6,34.87305556,-83.37416667
"308",2008,1,31.015,-93.16527778
"309",2008,1,31.75388889,-92.76666667
"310",2008,0.7,34.86694444,-83.40166667
"311",2008,0.01,33.66638889,-111.47416667
"312",2008,13.6,34.84916667,-83.40444444
"313",2008,0.01,33.575,-111.62277778
"314",2008,19.2,38.15916667,-120.04916667
"315",2008,0.5,43.98194444,-121.4275
"316",2008,0.2,43.41027778,-85.66777778
"317",2008,0.1,33.99666667,-111.36527778
"318",2008,0.1,36.16027778,-121.66972222
"319",2008,8,44.23444444,-86.10388889
"320",2008,0.1,43.50416667,-85.75555556
"321",2008,0.25,38.62333333,-79.57805556
"322",2008,2,43.71583333,-85.85388889
"323",2008,29.7,38.17916667,-80.06111111
"324",2008,0.1,43.405,-85.68916667
"325",2008,0.1,38.72027778,-79.45833333
"326",2008,1227,37.66638889,-103.74055556
"327",2008,1.5,33.22305556,-108.84305556
"328",2008,133,44.18833333,-85.73972222
"329",2008,0.2,47.34305556,-94.21361111
"330",2008,1.2,47.34888889,-94.20722222
"331",2008,302,30.03277778,-85.00638889
"332",2008,0.25,30.075,-84.675
"333",2008,0.1,46.81222222,-109.49527778
"334",2008,1,48.90805556,-115.08305556
"335",2008,1,48.95083333,-115.13416667
"336",2008,2,48.96916667,-115.07861111
"337",2008,12.2,48.86833333,-115.09055556
"338",2008,9,48.9875,-115.08333333
"339",2008,2,48.91222222,-115.04111111
"340",2008,1,48.90055556,-115.17472222
"341",2008,3,48.84777778,-114.95083333
"342",2008,2,48.94638889,-115.12444444
"343",2008,0.6,48.99944444,-115.09027778
"344",2008,0.1,48.43194444,-115.61638889
"345",2008,2.9,43.76722222,-85.70888889
"346",2008,0.1,43.36805556,-85.74277778
"347",2008,0.1,44.44361111,-104.34861111
"348",2008,1,43.88333333,-85.81166667
"349",2008,0.1,43.39555556,-85.64611111
"350",2008,0.25,43.50055556,-85.64444444
"351",2008,143,37.06694444,-84.27305556
"352",2008,115,34.94361111,-83.74194444
"353",2008,3,43.67888889,-85.80333333
"354",2008,0.1,47.16305556,-94.27666667
"355",2008,2,43.85833333,-85.94861111
"356",2008,0.25,33.71222222,-108.92055556
"357",2008,25,37.09722222,-83.58166667
"358",2008,1,43.45416667,-85.56333333
"359",2008,4.5,37.5075,-92.08722222
"360",2008,0.25,44.60055556,-84.15805556
"361",2008,0.1,43.89638889,-85.77055556
"362",2008,1,43.5575,-86
"363",2008,17,35.91527778,-82.75138889
"364",2008,10,44.37861111,-83.77444444
"365",2008,4,36.13638889,-82.21388889
"366",2008,5,35.95638889,-82.62416667
"367",2008,18,36.10222222,-82.31944444
"368",2008,3,44.4375,-83.77083333
"369",2008,0.5,35.83888889,-82.2
"370",2008,25,35.88444444,-82.82555556
"371",2008,0.1,44.42972222,-83.34638889
"372",2008,0.1,44.42861111,-83.3375
"373",2008,0.1,44.42333333,-83.42083333
"374",2008,0.5,44.34027778,-83.78472222
"375",2008,0.1,44.48583333,-83.855
"376",2008,6,44.3975,-83.885
"377",2008,3,43.45111111,-85.80333333
"378",2008,0.1,34.41527778,-117.77361111
"379",2008,0.1,43.82638889,-121.11055556
"380",2008,13,43.94083333,-86.36888889
"381",2008,0.25,33.32388889,-108.8825
"382",2008,0.1,34.3875,-117.70916667
"383",2008,2,35.76861111,-99.70944444
"384",2008,17,35.58138889,-99.90916667
"385",2008,1,35.76027778,-99.92611111
"386",2008,20,35.62444444,-100.00055556
"387",2008,50,35.60277778,-100.00333333
"388",2008,1,35.59638889,-99.90944444
"389",2008,0.01,44.56194444,-83.72
"390",2008,19,31.18333333,-93.83333333
"391",2008,0.1,31.22972222,-94.97916667
"392",2008,0.1,31.08861111,-95.135
"393",2008,0.3,31.32916667,-95.19722222
"394",2008,0.5,31.38722222,-95.15416667
"395",2008,0.2,31.17694444,-95.02
"396",2008,91,31.42916667,-93.79722222
"397",2008,180,31.19805556,-93.82722222
"398",2008,0.25,33.76944444,-96.15416667
"399",2008,132,30.40805556,-95.1975
"400",2008,0.25,32.90305556,-105.50194444
"401",2008,0.01,33.57527778,-111.51444444
"402",2008,0.01,33.63055556,-111.46305556
"403",2008,0.03,33.84833333,-111.46888889
"404",2008,11,32.96055556,-79.83916667
"405",2008,3,44.12666667,-118.96611111
"406",2008,0.01,33.54666667,-111.66
"407",2008,5,34.92944444,-76.94166667
"408",2008,8.6,31.375,-90.84916667
"409",2008,0.1,33.04861111,-79.64083333
"410",2008,1.25,30.17416667,-85.085
"411",2008,0.5,30.94333333,-89.26638889
"412",2008,4,43.6625,-85.58166667
"413",2008,2,30.63555556,-88.90277778
"414",2008,1.9,32.97361111,-79.7675
"415",2008,55,30.06694444,-85.10027778
"416",2008,0.1,33.20027778,-79.76777778
"417",2008,65.5,36.96333333,-91.17944444
"418",2008,1,36.9425,-91.05388889
"419",2008,0.7,30.23638889,-82.42666667
"420",2008,0.5,33.225,-108.51527778
"421",2008,6.1,39.23222222,-122.78166667
"422",2008,2,29.11944444,-81.70388889
"423",2008,35.89,33.8275,-82.14333333
"424",2008,0.1,29.1175,-81.72972222
"425",2008,0.1,29.37027778,-81.69527778
"426",2008,0.7,30.21444444,-82.44333333
"427",2008,67,35.68194444,-94.38083333
"428",2008,0.25,35.70694444,-93.81138889
"429",2008,1,36.74333333,-84.3875
"430",2008,0.2,40.12861111,-120.95555556
"431",2008,0.1,39.93555556,-120.88277778
"432",2008,0.1,39.89111111,-120.78416667
"433",2008,25,36.47416667,-81.94972222
"434",2008,2,35.43083333,-83.83333333
"435",2008,0.1,30.25388889,-82.34888889
"436",2008,2.9,29.16222222,-81.77638889
